Provinsi;Tahun;Persentase_Penduduk_Miskin;IPM;Rata_Rata_Lama_Sekolah
ACEH;2019;15.32;71.9;9.18
BALI;2019;3.79;75.38;8.84
BANTEN;2019;5.09;72.44;8.74
BENGKULU;2019;15.23;71.21;8.73
DI YOGYAKARTA;2019;11.7;79.99;9.38
DKI JAKARTA;2019;3.47;80.76;11.06
GORONTALO;2019;15.52;68.49;7.69
JAMBI;2019;7.6;71.26;8.45
JAWA BARAT;2019;6.91;72.03;8.37
JAWA TENGAH;2019;10.8;71.73;7.53
JAWA TIMUR;2019;10.37;71.5;7.59
KALIMANTAN BARAT;2019;7.49;67.65;7.31
KALIMANTAN SELATAN;2019;4.55;70.72;8.2
KALIMANTAN TENGAH;2019;4.98;70.91;8.51
KALIMANTAN TIMUR;2019;5.94;76.61;9.7
KALIMANTAN UTARA;2019;6.63;71.15;8.94
KEP. BANGKA BELITUNG;2019;4.62;71.3;7.98
KEPULAUAN RIAU;2019;5.9;75.48;9.99
LAMPUNG;2019;12.62;69.57;7.92
MALUKU;2019;17.69;69.45;9.81
MALUKU UTARA;2019;6.77;68.7;9.0
NUSA TENGGARA BARAT;2019;14.56;68.14;7.27
NUSA TENGGARA TIMUR;2019;21.09;65.23;7.55
PAPUA;2019;27.53;60.84;6.65
PAPUA BARAT;2019;22.17;64.7;7.44
RIAU;2019;7.08;73.0;9.03
SULAWESI BARAT;2019;11.02;65.73;7.73
SULAWESI SELATAN;2019;8.69;71.66;8.26
SULAWESI TENGAH;2019;13.48;69.5;8.75
SULAWESI TENGGARA;2019;11.24;71.2;8.91
SULAWESI UTARA;2019;7.66;72.99;9.43
SUMATERA BARAT;2019;6.42;72.39;8.92
SUMATERA SELATAN;2019;12.71;70.02;8.18
SUMATERA UTARA;2019;8.83;71.74;9.45
ACEH;2020;14.99;71.99;9.33
BALI;2020;3.78;75.5;8.95
BANTEN;2020;5.92;72.45;8.89
BENGKULU;2020;15.03;71.4;8.84
DI YOGYAKARTA;2020;12.28;79.97;9.55
DKI JAKARTA;2020;4.53;80.77;11.13
GORONTALO;2020;15.22;68.68;7.82
JAMBI;2020;7.58;71.29;8.55
JAWA BARAT;2020;7.88;72.09;8.55
JAWA TENGAH;2020;11.41;71.87;7.69
JAWA TIMUR;2020;11.09;71.71;7.78
KALIMANTAN BARAT;2020;7.17;67.66;7.37
KALIMANTAN SELATAN;2020;4.38;70.91;8.29
KALIMANTAN TENGAH;2020;4.82;71.05;8.59
KALIMANTAN TIMUR;2020;6.1;76.24;9.77
KALIMANTAN UTARA;2020;6.8;70.63;9.0
KEP. BANGKA BELITUNG;2020;4.53;71.47;8.06
KEPULAUAN RIAU;2020;5.92;75.59;10.12
LAMPUNG;2020;12.34;69.69;8.05
MALUKU;2020;17.44;69.49;9.93
MALUKU UTARA;2020;6.78;68.49;9.04
NUSA TENGGARA BARAT;2020;13.97;68.25;7.31
NUSA TENGGARA TIMUR;2020;20.9;65.19;7.63
PAPUA;2020;26.64;60.44;6.69
PAPUA BARAT;2020;21.37;65.09;7.6
RIAU;2020;6.82;72.71;9.14
SULAWESI BARAT;2020;10.87;66.11;7.89
SULAWESI SELATAN;2020;8.72;71.93;8.38
SULAWESI TENGAH;2020;12.92;69.55;8.83
SULAWESI TENGGARA;2020;11.0;71.45;9.04
SULAWESI UTARA;2020;7.62;72.93;9.49
SUMATERA BARAT;2020;6.28;72.38;8.99
SUMATERA SELATAN;2020;12.66;70.01;8.24
SUMATERA UTARA;2020;8.75;71.77;9.54
ACEH;2021;15.33;72.18;9.37
BALI;2021;4.53;75.69;9.06
BANTEN;2021;6.66;72.72;8.93
BENGKULU;2021;15.22;71.64;8.87
DI YOGYAKARTA;2021;12.8;80.22;9.64
DKI JAKARTA;2021;4.72;81.11;11.17
GORONTALO;2021;15.61;69.0;7.9
JAMBI;2021;8.09;71.63;8.6
JAWA BARAT;2021;8.4;72.45;8.61
JAWA TENGAH;2021;11.79;72.16;7.75
JAWA TIMUR;2021;11.4;72.14;7.88
KALIMANTAN BARAT;2021;7.15;67.9;7.45
KALIMANTAN SELATAN;2021;4.83;71.28;8.34
KALIMANTAN TENGAH;2021;5.16;71.25;8.64
KALIMANTAN TIMUR;2021;6.54;76.88;9.84
KALIMANTAN UTARA;2021;7.36;71.19;9.11
KEP. BANGKA BELITUNG;2021;4.9;71.69;8.08
KEPULAUAN RIAU;2021;6.12;75.79;10.18
LAMPUNG;2021;12.62;69.9;8.08
MALUKU;2021;17.87;69.71;10.03
MALUKU UTARA;2021;6.89;68.76;9.09
NUSA TENGGARA BARAT;2021;14.14;68.65;7.38
NUSA TENGGARA TIMUR;2021;20.99;65.28;7.69
PAPUA;2021;26.86;60.62;6.76
PAPUA BARAT;2021;21.84;65.26;7.69
RIAU;2021;7.12;72.94;9.19
SULAWESI BARAT;2021;11.29;66.36;7.96
SULAWESI SELATAN;2021;8.78;72.24;8.46
SULAWESI TENGAH;2021;13.0;69.79;8.89
SULAWESI TENGGARA;2021;11.66;71.66;9.13
SULAWESI UTARA;2021;7.77;73.3;9.62
SUMATERA BARAT;2021;6.63;72.65;9.07
SUMATERA SELATAN;2021;12.84;70.24;8.3
SUMATERA UTARA;2021;9.01;72.0;9.58
ACEH;2022;14.64;72.8;9.44
BALI;2022;4.57;76.44;9.39
BANTEN;2022;6.16;73.32;9.13
BENGKULU;2022;14.62;72.16;8.91
DI YOGYAKARTA;2022;11.34;80.64;9.75
DKI JAKARTA;2022;4.69;81.65;11.31
GORONTALO;2022;15.42;69.81;8.02
JAMBI;2022;7.62;72.14;8.68
JAWA BARAT;2022;8.06;73.12;8.78
JAWA TENGAH;2022;10.93;72.79;7.93
JAWA TIMUR;2022;10.38;72.75;8.03
KALIMANTAN BARAT;2022;6.73;68.63;7.59
KALIMANTAN SELATAN;2022;4.49;71.84;8.46
KALIMANTAN TENGAH;2022;5.28;71.63;8.65
KALIMANTAN TIMUR;2022;6.31;77.44;9.92
KALIMANTAN UTARA;2022;6.77;71.83;9.27
KEP. BANGKA BELITUNG;2022;4.45;72.24;8.11
KEPULAUAN RIAU;2022;6.24;76.46;10.37
LAMPUNG;2022;11.57;70.45;8.18
MALUKU;2022;15.97;70.22;10.19
MALUKU UTARA;2022;6.23;69.47;9.24
NUSA TENGGARA BARAT;2022;13.68;69.46;7.61
NUSA TENGGARA TIMUR;2022;20.05;65.9;7.7
PAPUA;2022;26.56;71.76;7.02
PAPUA BARAT;2022;21.33;65.16;7.84
RIAU;2022;6.78;73.52;9.22
SULAWESI BARAT;2022;11.75;66.92;8.08
SULAWESI SELATAN;2022;8.63;72.82;8.63
SULAWESI TENGAH;2022;12.33;70.28;8.89
SULAWESI TENGGARA;2022;11.17;72.23;9.25
SULAWESI UTARA;2022;7.28;73.81;9.68
SUMATERA BARAT;2022;5.92;73.26;9.18
SUMATERA SELATAN;2022;11.9;70.9;8.37
SUMATERA UTARA;2022;8.42;72.71;9.71
ACEH;2023;14.45;73.4;9.55
BALI;2023;4.25;77.1;9.45
BANTEN;2023;6.17;73.87;9.15
BENGKULU;2023;14.04;72.78;9.03
DI YOGYAKARTA;2023;11.04;81.07;9.83
DKI JAKARTA;2023;4.44;82.46;11.45
